Identification;FullName;Phone;Email;ClientType
0102030405;Arq. Juan Esteban;0988881111;juan.arq@construye.com;VIP
0103040506;Maestro Pedro Lojan;0988882222;pedro.lojan@gmail.com;PREMIUM
0104050607;Constructora del Austro;072888111;compras@austro.ec;VIP
0105060708;Jose Maria Velez;0988883333;jmvelez@outlook.com;STANDARD
0106070809;Ferreteria del Barrio;072888222;pedidos@barrio.com;PREMIUM
0107080910;Rosa Maria Pinto;0988884444;rosa.pinto@live.com;STANDARD
0108091011;Ing. Carlos Durán;0988885555;carlos.duran@civil.com;VIP
0109101112;Edificio El Mirador;072888333;admin@mirador.com;STANDARD
0100111213;Luis Guamán;0988886666;lguaman@gmail.com;STANDARD
0101121314;Soluciones Habitacionales;072888444;proyectos@soluciones.ec;VIP
