Identification;FullName;Phone;Email;ClientType
0900112233;Maria Lopez;0991112222;maria.lo@gmail.com;STANDARD
0900223344;Jorge Vera;0992223333;jorge.vera@hotmail.com;VIP
0900334455;Luisa Espinoza;0993334444;luisa.esp@outlook.com;PREMIUM
0900445566;Carlos Andrade;0994445555;carlos.and@gmail.com;STANDARD
0900556677;Elena Torres;0995556666;elena.torres@live.com;STANDARD
0900667788;Restaurante El Chino;042111222;compras@elchino.ec;VIP
0900778899;Panaderia La Delicia;042333444;pedidos@ladelicia.com;PREMIUM
0900889900;Club Social Norte;042555666;admin@clubnorte.com;VIP
0900990011;Sofia Mendez;0996667777;sofia.m@gmail.com;STANDARD
0900101112;Pedro Ramos;0997778888;pedro.r@yahoo.com;STANDARD
